iter	RMSE
0	0.3156697302
1	0.2960817335
2	0.2788023583
3	0.2633043595
4	0.2496607058
5	0.2374798172
6	0.2254001932
7	0.2144242247
8	0.2049369827
9	0.1969982559
10	0.189029239
11	0.181924823
12	0.1761098842
13	0.1705320749
14	0.1650475565
15	0.1611943771
16	0.1571217612
17	0.1533211314
18	0.149639483
19	0.146463196
20	0.1432845415
21	0.1406242165
22	0.1382888904
23	0.1357728456
24	0.1336981632
25	0.1319528854
26	0.1299472544
27	0.1283861383
28	0.1266957539
29	0.1249351575
30	0.1235709538
31	0.1221055525
32	0.1208262107
33	0.1193364655
34	0.118133721
35	0.1171397543
36	0.1159371077
37	0.1149233027
38	0.1140102833
39	0.1129880893
40	0.1119805752
41	0.1111939346
42	0.1102639493
43	0.1093695261
44	0.10847879
45	0.1077584875
46	0.1069705808
47	0.1063228862
48	0.1055855554
49	0.1050213056
50	0.1043152828
51	0.1034443914
52	0.1029224039
53	0.1025448577
54	0.1018708256
55	0.1012879601
56	0.1007473507
57	0.1002670193
58	0.09971870577
59	0.09936011917
60	0.09893699253
61	0.09821883867
62	0.0977746965
63	0.09713975974
64	0.09650669679
65	0.09606862385
66	0.09563112439
67	0.09527890153
68	0.09495148886
69	0.09442858101
70	0.09405642848
71	0.09359275434
72	0.09316378455
73	0.09260319555
74	0.09224695618
75	0.09187884946
76	0.09151525895
77	0.09110938763
78	0.09078398704
79	0.09060623519
80	0.09034161868
81	0.089915263
82	0.08962628789
83	0.08903971397
84	0.0886532725
85	0.08833299334
86	0.08818337079
87	0.08783775423
88	0.08749349673
89	0.08729149829
90	0.08711483717
91	0.08688897421
92	0.08659891137
93	0.08620905982
94	0.08618924002
95	0.08598813415
96	0.08572447797
97	0.08556593191
98	0.08539228857
99	0.08517505859
