iter	Passed	Remaining
0	13	680
1	24	595
2	34	541
3	45	528
4	51	467
5	63	463
6	71	436
7	81	428
8	89	406
9	97	389
10	103	367
11	113	360
12	126	358
13	131	338
14	140	327
15	154	328
16	167	325
17	181	321
18	190	311
19	207	311
20	219	302
21	225	287
22	234	275
23	246	266
24	254	254
25	261	241
26	269	229
27	280	220
28	290	210
29	298	199
30	307	188
31	317	178
32	329	169
33	341	160
34	357	153
35	371	144
36	380	133
37	389	123
38	397	112
39	407	101
40	419	92
41	426	81
42	436	71
43	443	60
44	455	50
45	465	40
46	473	30
47	486	20
48	493	10
49	502	0
